,Overnight ,Watersports,Biking,Sea Kayaking,Surfing,Spelunking
Full Moon Paddle & Stargazing at Lake Wauburg1,0,1,0,0,0,0
Intro to Backpacking: Providence Canyon1,1,0,0,0,0,0
Honors: Canoe & Camp Wekiva Springs,1,0,0,0,0,0
Intro to Mountain Biking at Santos,0,0,1,0,0,0
Birdwatching & Stargazing Kissimee Prairie Preserve,1,0,0,0,0,0
Canoe with Manatees on the Chassahowitzka,0,1,0,0,0,0
Sea Kayak & Explore Cedar Key1,0,0,0,1,0,0
"Beaches & Ponies at Cumberland Island, GA",1,0,0,0,0,0
Intro to Surfing: St. Augustine1,0,0,0,0,1,0
Kayak with Manatees on Silver River ,0,1,0,0,0,0
Full Moon Paddle & Stargazing at Lake Wauburg2,0,1,0,0,0,0
Intro to Backpacking: Providence Canyon2,1,0,0,0,0,0
Canoe & Camp the Suwannee,1,0,0,0,0,0
Honors: Cave Exploring in the Withlacoochee Forest,0,0,0,0,0,1
Sea Kayak & Explore Cedar Key2,0,0,0,1,0,0
Backpack the Pinhoti Trail,1,0,0,0,0,0
Intro to Surfing: St. Augustine2,0,0,0,0,1,0
Honors: Intro to Mountain Biking at Santos,0,0,1,0,0,0
Full Moon Paddle & Stargazing at Lake Wauburg3,0,1,0,0,0,0
Backpackin' & Waterfallin' Black Balsam,1,0,0,0,0,0
Snorkel Devil's Den & Blue Springs,0,1,0,0,0,0
Cave Exploring in the Withlacoochee Forest,0,0,0,0,0,1
Hike & Help Linville Gorge,1,0,0,0,0,0
OCL Devil's Den TRiP,0,1,0,0,0,0
Sunset Surf & Explore St Augustine,0,0,0,0,1,0
Sea Kayak & Explore Cedar Key3,0,0,0,1,0,0
Backpack & Summit Mt Mitchell,1,0,0,0,0,0
Intro to Surfing: St. Augustine3,0,0,0,0,1,0
SUP & Snorkel Rainbow River,0,1,0,0,0,0
Honors: Tube the Itchetucknee River,0,1,0,0,0,0